layer,cv_accuracy_mean,cv_accuracy_std,n_samples,n_features
0,0.6799999999999999,0.056236109396009974,400,768
1,0.7474999999999999,0.10105691465703869,400,768
2,0.82,0.06642665127793212,400,768
3,0.8375,0.11911129249571595,400,768
4,0.875,0.06614378277661478,400,768
5,0.9,0.04743416490252569,400,768
6,0.9099999999999999,0.06490377492873582,400,768
7,0.915,0.07132671308843552,400,768
8,0.925,0.06373774391990983,400,768
9,0.9,0.04183300132670377,400,768
10,0.86,0.03201562118716421,400,768
11,0.8525,0.04213074886588179,400,768
